id,date,author,text,type,author_channel_url,author_channel_id,edited_date,parent_post_id,parent_username,direct_reply_to,likes
UgwJpGpVJ1CTueDxJoB4AaABAg,2024-09-26T09:57:48Z,@gordonnorris4202,"A social house in Luxembourg costs around 700k eur...for which you are not a full owner as the land will remain to the state. And when you want to sell the house you will be force to sell it back to the state with more or less the same price. That is why there are many of these so called social houses which are not selling...cause the ones that can afford them, realize it is a bad business so they prefer to invest their money in something else and live across the border or rent (is some cases it is better to rent than pay mortgage to a social house).",Thread,http://www.youtube.com/@gordonnorris4202,UCgUrnxrfNGYo3T1MB2b-EXw,2024-09-26T09:59:20Z,,,,0
Ugwc8Gry5dy0t8vOHHB4AaABAg,2024-09-26T08:24:10Z,@yasssgawwwd5643,I live in Hawaii. Most expensive state in my country. I’m native Hawaiian and there are not many places for folks.,Thread,http://www.youtube.com/@yasssgawwwd5643,UCH2V1MOSKntsGg3dsD0xGNA,2024-09-26T08:24:10Z,,,,0
UgzV6R7YTBpBJYrTbZp4AaABAg,2024-09-25T15:22:09Z,@jhongparungao1673,"If you live in the richest country in the world, you have no disabilities or not even insane and you are poor?. Ohh really you can't blame anyone but yourself",Thread,http://www.youtube.com/@jhongparungao1673,UCjsEejszBvBnIYloPFkWyLw,2024-09-25T15:22:09Z,,,,0
Ugzhfh_EDdWlJRPkg294AaABAg,2024-09-25T13:59:09Z,@gordonnorris4202,"Those luxembourgers saying that the government doesn't care about luxembourgers are talking rubbish. The best paid jobs in Luxembourg are the state jobs which are only accessible to locals. And accusing immigrants that they are stealing jobs for the locals it is the classic way of victimizing yourself because you are either lazy, incompetent or not educated.",Thread,http://www.youtube.com/@gordonnorris4202,UCgUrnxrfNGYo3T1MB2b-EXw,2024-09-26T08:14:25Z,,,,0
UgzokJ5Ab3y0NDIru1x4AaABAg,2024-09-25T13:49:29Z,@gordonnorris4202,It seems that those 2 hungarians homeless are pretty happy with their choices. Why saved them if they like their status ?,Thread,http://www.youtube.com/@gordonnorris4202,UCgUrnxrfNGYo3T1MB2b-EXw,2024-09-25T13:49:29Z,,,,0
UgyFrXRykI2599I86I94AaABAg,2024-09-23T22:04:07Z,@BanangaTete-wg7bi,BECOMING SLAVES OF DESIRES AND PLEASURES IS A LIMITED WAY OF PERCEIVING LIFE.,Thread,http://www.youtube.com/@BanangaTete-wg7bi,UCcHU1UTYCatuUt51ra7NDlg,2024-09-23T22:04:07Z,,,,0
Ugw-vLMIsj9TzPyMk2h4AaABAg,2024-09-22T12:02:46Z,@giggles8458,"4:27 I suppose alexandra has a job dealing with this issue of homelessness, yet, apparently, she can't relate to a business owner's dilemma of having homeless camping out at their doorstep.
We need to have her running a coffee shop with homeless settling at her doorstep, that way she could tell her customers to be nice to the people who live at the doorstep of her business.",Thread,http://www.youtube.com/@giggles8458,UCHref6TATwPfYMjojczzvew,2024-09-22T12:05:43Z,,,,0
UgwfeD6X-TMDOIqNDFt4AaABAg,2024-09-21T13:39:47Z,@timourkhadashev8697,They are homeless but they find money for drugs,Thread,http://www.youtube.com/@timourkhadashev8697,UCaUWYEfXSgLzJCFEBUvDsDA,2024-09-21T13:39:47Z,,,,0
Ugx1pEJnN-o1uVZeqN54AaABAg,2024-09-21T09:01:56Z,@Davidsohn-l8v,"His son is already doing well in Business with those superhero figures he can sell for Thousand of Euros in a few years. I saw about 12 of them which can easily make him about $500,000,00",Thread,http://www.youtube.com/@Davidsohn-l8v,UCqXuI2IDRbIASYZ5LIhNFMA,2024-09-21T09:01:56Z,,,,0
UgztqpiCZVjrcI_1a4V4AaABAg,2024-09-20T08:52:46Z,@SongPeehoa,Shameless to the rich. Shameless to the government,Thread,http://www.youtube.com/@SongPeehoa,UCIsbKo0RKEsnnbSjnj8TFmQ,2024-09-20T08:52:46Z,,,,1
UgzJ_b3YLXU7kuPn1JB4AaABAg,2024-09-19T06:18:34Z,@SusanKassandra,It’s true those out of Lux get more than the locals. It’s the same all over the world.   People come to lux to steal and there are professional beggars.    Shocking that the world has become so distant from its own people.,Thread,http://www.youtube.com/@SusanKassandra,UCTQI5_Q5RWwM9NJriEMOMKg,2024-09-19T06:18:34Z,,,,0
